,colony,type,week,frame_position,growth,wood_distance,comb_distance
0,SH7,SH,2,8,1,117.38824472663352,2.23606797749979
1,SH4,SH,1,7,0,2.0,87.09190547921202
2,DD5,DD,0,8,0,27.0,249.20072231034965
3,SH2,SH,2,9,0,89.0,76.69419795525604
4,SH2,SH,2,9,0,95.0,71.56116265125938
5,SH4,SH,4,2,0,2.0,11.180339887498949
6,SH3,SH,1,7,0,1.0,250.05999280172747
7,DD1,DD,0,7,0,18.110770276274835,295.6010825419961
8,SH3,SH,0,1,0,36.0,81.83520025025906
9,DD2,DD,1,2,0,63.50590523722971,253.57641846196975
10,SH4,SH,2,4,1,139.12943613772032,1.0
11,DD5,DD,3,2,0,59.07622195096772,383.18794344290114
12,SH6,SH,4,0,0,14.0,194.25756098540927
13,SH1,SH,0,4,1,126.00396819148197,45.79301256742124
14,DD1,DD,3,7,0,60.0,70.178344238091
15,DD6,DD,0,5,0,86.0,85.07055894961546
16,DD1,DD,2,1,0,125.0,356.0505582076793
17,DD2,DD,4,5,0,27.0,82.46211251235322
18,DD6,DD,2,6,0,111.0,31.32091952673165
19,DD1,DD,0,7,0,71.0,172.90459797240788
20,DD4,DD,0,9,1,5.0990195135927845,33.734255586866
21,DD1,DD,3,6,0,40.0,73.24616030891995
22,SH7,SH,3,1,1,33.54101966249684,26.1725046566048
23,DD2,DD,4,6,1,31.0,26.870057685088806
24,DD4,DD,0,7,0,37.0,118.1905241548577
25,DD2,DD,3,6,1,83.0,12.727922061357855
26,SH4,SH,4,5,0,24.0,84.8528137423857
27,DD6,DD,0,3,0,34.0,44.721359549995796
28,DD4,DD,3,4,1,56.0,70.66116330771806
29,SH7,SH,1,0,0,116.84177335182824,51.62363799656123
30,DD5,DD,4,9,0,112.0,63.41135544995076
31,SH3,SH,4,8,0,18.0,168.43990026119107
32,DD6,DD,4,1,1,123.0,20.248456731316587
33,DD2,DD,3,6,1,106.0,1.0
34,DD1,DD,0,4,0,149.85659811966906,174.25555945220228
35,SH4,SH,1,3,0,56.0,211.53250341259616
